"subjid","cadre_id","status","selpa_final","district_final","district_size","role","job_title","gender","ethnicity","race","age","socio_disadvantaged_percentage","performance_score_avg","exp_asd","years_participation","ebp_use_primary_quality_outcome","ebp_use_secondary_quality_outcocme","ebp_use_tertiary_quality_outcome","pct_correct_avg","pct_fidelity_avg","primary_pct_cor","primary_pct_fid","ebp_res_partnership_avg","ebp_res_strategic_planning_avg","ebp_res_org_capacity_avg","ebp_res_total","use_data","ics_focus_ebp","ics_edu_support","ics_recog_ebp","ics_rewards_ebp","ics_selection_ebp","ics_selection_open","ics_exist_sup_ebp","ics_exist_use_data","ics_total","ics_total_narm"
"CAP1898",NA,"Eligible",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAP1899",NA,"Eligible",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAP1900",NA,"Eligible",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAP1901",NA,"Eligible","Stanislaus County SELPA","Empire Union Elementary",3020,"DSP","Special Education Teacher (serving on a single school site)","Male","Decline to answer","Decline to answer","65 - 74",0.7,NA,3,NA,2.5,2.5,2,NA,NA,NA,NA,NA,NA,NA,NA,1,9,6,6,3,6,6,4,2,42,42
"CAP1902",NA,"Eligible","Elk Grove USD SELPA","Elk Grove Unified",62599,"DSP","Special Education Teacher (serving on a single school site)",NA,NA,NA,NA,0.55,NA,1,NA,2.75,3.75,0.5,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAP1903",NA,"Eligible","San Juan Unified SELPA","San Juan Unified",39805,"DSP","Special Education Teacher (serving on a single school site)","Female","No","White","25 - 34",0.54,NA,3,NA,3,2,3.5,0.55,0.93,33.33,91.3,NA,NA,NA,NA,1,10,9,11,11,6,6,7,12,72,72
"CAP1904",NA,"Eligible","Santa Clarita Valley SELPA","William S. Hart Union High",22661,"DSP","Special Education Teacher (serving on a single school site)",NA,NA,NA,NA,0.34,NA,1,NA,2,1.5,1,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAP1905",NA,"Eligible",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAP1906",NA,"Eligible","Santa Clarita Valley SELPA","Newhall",6537,"DSP","Special Education Teacher (serving on a single school site)","Female","No","White","55 - 64",0.34,NA,2,NA,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,1,6,5,4,2,6,6,6,8,43,43
"CAP1907",NA,"Eligible","Santa Clarita Valley SELPA","William S. Hart Union High",22661,"DSP","Special Education Teacher (serving on a single school site)","Female","No","White","45 - 54",0.34,NA,2,NA,2.25,2.25,1.75,NA,NA,NA,NA,NA,NA,NA,NA,1,4,1,4,1,3,4,0,0,17,17
"CAP1908",NA,"Eligible","Mendocino SELPA","Willits Unified",1540,"DSP","Special Education Teacher (serving on a single school site)","Other","No","2 or more of the above","35 - 44",0.74,NA,2,NA,2.5,2.75,2.5,0.75,0.99,75,100,NA,NA,NA,NA,1,7,8,6,5,6,9,6,5,52,52
"CAP1909",NA,"Eligible","Santa Clarita Valley SELPA","William S. Hart Union High",22661,"DSP","Itinerant Special Education Teacher (serving multiple school sites)","Female","No","White","25 - 34",0.34,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,0,3,3,3,3,3,3,3,4,25,25
"CAP1910",NA,"Eligible","Placer SELPA","Placer Union High",4037,"DSP","Special Education Teacher (serving on a single school site)","Male","No","White","55 - 64",0.34,NA,2,NA,1,1.25,1,0.5,0.95,50,93.75,NA,NA,NA,NA,1,0,0,0,0,0,12,1,3,16,16
"CAP1911",NA,"Eligible","Placer SELPA","Alta-Dutch Flat Union Elementary",109,"Administrator","Principal","Male","Decline to answer","Decline to answer","Decline to answer",0.34,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,0,6,7,5,3,3,3,3,4,34,34
"CAP1912",NA,"Eligible","Stanislaus County SELPA","Salida Union Elementary",2400,"DSP","Special Education Teacher (serving on a single school site)","Female","No","Asian","35 - 44",0.7,NA,3,0,2.75,3.75,3.5,NA,NA,NA,NA,NA,NA,NA,NA,1,6,6,6,6,6,6,6,8,50,50
"CAP1913",NA,"Eligible","Santa Clarita Valley SELPA","Newhall",6537,"DSP","Special Education Teacher (serving on a single school site)",NA,NA,NA,NA,0.34,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAP1914",NA,"Eligible","West Contra Costa Unified SELPA","West Contra Costa Unified",28457,"DSP","OT/OTA","Female","No","White","25 - 34",0.72,NA,2,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,3,5,0,2,3,3,1,19,19
"CAP1915",NA,"Eligible","Modoc County SELPA","Modoc Joint Unified",868,"DSP","Special Education Teacher (serving on a single school site)","Female","No","White","55 - 64",0.68,NA,2,NA,2,2,1.25,NA,NA,NA,NA,NA,NA,NA,NA,1,3,4,4,1,4,8,4,5,33,33
"CAP1916",NA,"Eligible","Sonoma County SELPA","Horicon Elementary",62,"Administrator","Principal","Male","No","White","35 - 44",0.51,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,5,6.4,6.2,88,0,9,12,7,1,3,12,12,13,69,69
"CAP1917",NA,"Eligible","Sonoma County SELPA","Old Adobe Union",348,"DSP","Psychologist","Female","No","White","45 - 54",0.51,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,9,1.5,6,0,5,6,NA,NA,NA,27.5
"CAP1918",NA,"Eligible","Elk Grove USD SELPA","Elk Grove Unified",62599,"DSP","Special Education Teacher (serving on a single school site)","Female","No","White","45 - 54",0.55,NA,2,NA,3,3,3,1,1,100,100,NA,NA,NA,NA,1,8,5,5,0,6,6,5,6,41,41
"CAP1919",NA,"Eligible","Sonoma County SELPA","Horicon Elementary",62,"DSP","Special Education Teacher (serving on a single school site)","Female","No","White","45 - 54",0.51,NA,2,NA,2,2.25,1.75,NA,NA,NA,NA,NA,NA,NA,NA,1,9,9,8,6,6,12,6,8,64,64
"CAP1920",NA,"Eligible",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAP1921",NA,"Eligible",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAP1922",NA,"Eligible","Sonoma County SELPA","Bennett Valley Union Elementary",1022,"DSP","Special Education Teacher (serving on a single school site)",NA,NA,NA,NA,0.51,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAP1923",NA,"Eligible","Santa Clarita Valley SELPA","Castaic Union",2153,"DSP","Special Education Teacher (serving on a single school site)","Female","No","White","35 - 44",0.34,NA,2,NA,2.75,2.25,2.5,NA,NA,NA,NA,NA,NA,NA,NA,1,3,1,2,0,0,9,1,0,16,16
"CAP1924",NA,"Eligible","Santa Clarita Valley SELPA","Castaic Union",2153,"DSP","SLP/SLPA","Female","Decline to answer","Decline to answer","Decline to answer",0.34,NA,3,NA,2.5,NA,2.5,NA,NA,NA,NA,NA,NA,NA,NA,1,4,5,2,0,1,8,2,4,26,26
"CAP1925",NA,"Eligible","Placer SELPA","Loomis Union Elementary",2536,"DSP","General Education Teacher","Female","No","White","45 - 54",0.34,NA,3,NA,1,0.75,0.25,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,0,0,NA,NA,NA,NA,NA,0
"CAP1926",NA,"Eligible","San Juan Unified SELPA","San Juan Unified",39805,"Administrator","Principal","Female","No","White","35 - 44",0.54,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.75,1.6,NA,0,5,2,4,0,1,10,5,9,36,36
"CAP1927",NA,"Eligible","Elk Grove USD SELPA","Elk Grove Unified",62599,"DSP","Special Education Teacher (serving on a single school site)",NA,NA,NA,NA,0.55,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,5,3,3,3,NA,NA,NA,NA,NA,14
"CAP1928",NA,"Eligible","Elk Grove USD SELPA","Elk Grove Unified",62599,"DSP","Special Education Teacher (serving on a single school site)",NA,NA,NA,NA,0.55,NA,2,NA,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAP1929",NA,"Eligible","Elk Grove USD SELPA","Elk Grove Unified",62599,"DSP","Special Education Teacher (serving on a single school site)",NA,NA,NA,NA,0.55,NA,2,NA,2,0,NA,0.5,0.86,50,82.35,NA,NA,NA,NA,1,9,7,3,4,NA,NA,NA,NA,NA,23
"CAP1930",NA,"Eligible","Santa Clarita Valley SELPA","Castaic Union",2153,"DSP","SLP/SLPA","Female","No","Decline to answer","Decline to answer",0.34,NA,3,NA,1.25,1.25,2.25,NA,NA,NA,NA,NA,NA,NA,NA,0,5,8,NA,2,3,6,4,6,NA,34
"CAP1931",NA,"Eligible",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAP1932",NA,"Eligible","Sonoma County SELPA","Cloverdale Unified",1440,"Director","Director of Special Education","Female","No","White","45 - 54",0.51,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.8,NA,0,6,6,7,1,5,9,4,4,42,42
"CAP1933",NA,"Eligible",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAP1934",NA,"Eligible","Santa Clarita Valley SELPA","Castaic Union",2153,"DSP","Psychologist","Male","No","White","25 - 34",0.34,NA,1,NA,2,2.5,1.25,NA,NA,NA,NA,NA,NA,NA,NA,1,3,4,4,0,2,3,3,4,23,23
"CAP1935",NA,"Eligible","Santa Clarita Valley SELPA","Castaic Union",2153,"DSP","Psychologist","Female","No","White","35 - 44",0.34,NA,1,NA,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,1,4,3,2,0,0,0,0,0,9,9
"CAP1936",NA,"Eligible","Mendocino SELPA","Anderson Valley Unified",488,"DSP","Special Education Teacher (serving on a single school site)",NA,NA,NA,NA,0.74,NA,3,NA,2.75,3,3,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAP1937",NA,"Eligible","North Region SELPA","Alameda Unified",9503,"DSP","Special Education Teacher (serving on a single school site)","Female","No","White","35 - 44",0.29,NA,3,NA,3,3,1.75,0.59,0.97,60,95.83,NA,NA,NA,NA,1,3,3,5,2,4,6,4,2,29,29
"CAP1938",NA,"Eligible","Santa Clarita Valley SELPA","Castaic Union",2153,"DSP","SLP/SLPA","Female","No","White","55 - 64",0.34,NA,1,NA,1.25,1.25,1.25,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,5,NA,0,NA,NA,2,2,NA,9
"CAP1939",NA,"Eligible","West Contra Costa Unified SELPA","West Contra Costa Unified",28457,"DSP","SLP/SLPA","Female","No","White","35 - 44",0.72,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAP1940",NA,"Eligible","Madera/Mariposa SELPA","Madera County Office of Education",NA,"DSP","Special Education Teacher (serving on a single school site)","Female","Yes","White","35 - 44",0.78,NA,3,NA,2.5,2.25,2.5,NA,NA,NA,NA,NA,NA,NA,NA,1,8,6,1,0,0,6,7,4,32,32
"CAP1941",NA,"Eligible","Santa Clarita Valley SELPA","Castaic Union",2153,"DSP","Special Education Teacher (serving on a single school site)","Decline to answer","Decline to answer","Decline to answer","Decline to answer",0.34,NA,2,NA,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,1,6,6,6,6,NA,NA,NA,NA,NA,24
"CAP1942",NA,"Eligible","Santa Clarita Valley SELPA","William S. Hart Union High",22661,"DSP","Psychologist","Female","No","White","35 - 44",0.34,NA,3,NA,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,1,9,6,9,3,6,9,6,5,53,53
"CAP1943",NA,"Eligible","Butte County SELPA","Butte County Office of Education",NA,"DSP","Special Education Teacher (serving on a single school site)","Female","No","Other","55 - 64",0.59,NA,3,1,2.25,2.5,2.25,0.67,0.88,100,89.47,NA,NA,NA,NA,1,10,5,6,0,6,9,2,9,47,47
"CAP1944",NA,"Eligible","Santa Clarita Valley SELPA","Newhall",6537,"Specialist","Adapted Physical Education Specialist","Female","No","White","55 - 64",0.34,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,7,7,7,105,0,12,12,12,12,12,12,12,16,100,100
"CAP1945",NA,"Eligible","San Mateo County SELPA","Woodside Elementary",411,"DSP","SLP/SLPA","Female","No","White","35 - 44",0.36,NA,3,NA,2.5,2.25,2,NA,NA,NA,NA,NA,NA,NA,NA,1,7,8,6,4,7,8,7,9,56,56
"CAP1946",NA,"Eligible","Santa Clarita Valley SELPA","Newhall",6537,"DSP","OT/OTA","Female","No","White","35 - 44",0.34,NA,3,NA,2.75,2.25,2,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,4,1,0,NA,9,3,NA,NA,17
"CAP1947",NA,"Eligible","Madera/Mariposa SELPA","Yosemite Unified",1705,"DSP","Special Education Teacher (serving on a single school site)","Decline to answer","Decline to answer","Decline to answer","Decline to answer",0.78,NA,2,NA,1.25,0.5,1.25,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,0,0,9,0,0,10,10
"CAP1948",NA,"Eligible","Madera/Mariposa SELPA","Yosemite Unified",1705,"DSP","Special Education Teacher (serving on a single school site)",NA,NA,NA,NA,0.78,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,1,2,0,NA,NA,NA,NA,NA,6
"CAP1949",NA,"Eligible","Madera/Mariposa SELPA","Golden Valley Unified",1940,"DSP","Psychologist","Female","No","White","25 - 34",0.78,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,1,3,1,9,8,4,7,37,37
"CAP1950",NA,"Eligible","Santa Clarita Valley SELPA","Castaic Union",2153,"DSP","Mental Health Counselor","Female","Yes","Decline to answer","35 - 44",0.34,NA,2,NA,2,1.75,2,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAP1951",NA,"Eligible","Madera/Mariposa SELPA","Madera Unified",20017,"DSP","Special Education Teacher (serving on a single school site)","Female","Yes","Other","35 - 44",0.78,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,3,3,0,NA,NA,NA,NA,NA,10
"CAP1952",NA,"Eligible","Madera/Mariposa SELPA","Yosemite Unified",1705,"DSP","Special Education Teacher (serving on a single school site)","Female","No","White","45 - 54",0.78,NA,2,1,1.75,2,2.75,NA,NA,NA,NA,NA,NA,NA,NA,1,6,8,4,0,6,11,3,0,38,38
"CAP1953",NA,"Eligible","Inyo County SELPA","Bishop Unified",1951,"DSP","Special Education Teacher (serving on a single school site)","Male","No","2 or more of the above","25 - 34",0.59,NA,1,NA,1.5,1.25,0.5,0.42,0.41,50,62.5,NA,NA,NA,NA,1,5,3,5,1,4,8,3,0,29,29
"CAP1954",NA,"Eligible","Bakersfield City SELPA","Bakersfield City",30699,"Specialist","Autism Specialist","Female","Yes","Other","55 - 64",0.9,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,NA,0,9,6,1,0,6,10,9,3,44,44
"CAP1955",NA,"Eligible","Elk Grove USD SELPA","Elk Grove Unified",62599,"DSP","Special Education Teacher (serving on a single school site)","Female","No","White","35 - 44",0.55,NA,1,NA,0.25,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,3,3,0,0,0,0,0,9,9
"CAP1956",NA,"Eligible","Bakersfield City SELPA","Bakersfield City",30699,"DSP","Special Education Teacher (serving on a single school site)","Female","Decline to answer","Decline to answer","25 - 34",0.9,NA,1,NA,2.5,1.25,1,0.36,0.95,33.33,91.18,NA,NA,NA,NA,1,12,12,10,0,9,9,9,12,73,73
"CAP1957",NA,"Eligible","Inyo County SELPA","Big Pine Unified",151,"DSP","Special Education Teacher (serving on a single school site)",NA,NA,NA,NA,0.59,NA,1,NA,NA,NA,NA,0.42,1,50,100,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAP1958",NA,"Eligible","Bakersfield City SELPA","Bakersfield City",30699,"DSP","Special Education Teacher (serving on a single school site)","Female","Yes","Other","45 - 54",0.9,NA,3,NA,3.75,3.75,3.75,NA,NA,NA,NA,NA,NA,NA,NA,1,9,9,9,3,8,9,7,8,62,62
"CAP1959",NA,"Eligible","Bakersfield City SELPA","Bakersfield City",30699,"DSP","Special Education Teacher (serving on a single school site)","Female","Yes","White","25 - 34",0.9,NA,3,NA,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,1,10,3,6,0,7,8,9,5,48,48
"CAP1960",NA,"Eligible","Bakersfield City SELPA","Bakersfield City",30699,"Administrator","Principal","Female","No","White","55 - 64",0.9,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAP1961",NA,"Eligible","Elk Grove USD SELPA","Elk Grove Unified",62599,"DSP","Special Education Teacher (serving on a single school site)","Female","No","White","35 - 44",0.55,NA,3,NA,3,3,3,0.76,1,60,100,NA,NA,NA,NA,1,9,9,7,5,9,9,7,10,65,65
"CAP1962",NA,"Eligible","San Joaquin County SELPA","Jefferson Elementary",2329,"DSP","SLP/SLPA","Female","Yes","Other","25 - 34",0.57,NA,3,NA,3.25,2.25,2.75,NA,NA,NA,NA,NA,NA,NA,NA,1,8,7,7,4,7,7,7,9,56,56
"CAP1963",NA,"Eligible","Inyo County SELPA","Bishop Unified",1951,"DSP","Special Education Teacher (serving on a single school site)","Female","No","White","35 - 44",0.59,NA,2,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,7,4,2,0,1,2,5,4,25,25
"CAP1964",NA,"Eligible",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAP1965",NA,"Eligible",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,2,3,4,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAP1966",NA,"Eligible","Bakersfield City SELPA","Bakersfield City",30699,"Administrator","Principal","Decline to answer","Decline to answer","Decline to answer","Decline to answer",0.9,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAP1967",NA,"Eligible","Inyo County SELPA","Bishop Unified",1951,"DSP","Special Education Teacher (serving on a single school site)",NA,NA,NA,NA,0.59,NA,2,NA,NA,NA,2.75,0.28,0,50,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAP1968",NA,"Eligible",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAP1969",NA,"Eligible","Bakersfield City SELPA","Bakersfield City",30699,"Administrator","Principal","Decline to answer","Decline to answer","Decline to answer","Decline to answer",0.9,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6,3,3,0,NA,NA,NA,8,NA,20
"CAP197","CC0251","Eligible","Ventura SELPA","Ventura Unified",16813,"Specialist","Psychologist","Female","No","White","45 - 54",0.52,51.6,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2,NA,0,6,8,6,1,3,9,6,4,43,43
"CAP1970",NA,"Eligible",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAP1971",NA,"Eligible",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAP1972",NA,"Eligible","Madera/Mariposa SELPA","Madera Unified",20017,"DSP","Special Education Teacher (serving on a single school site)",NA,NA,NA,NA,0.78,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAP1973",NA,"Eligible","Inyo County SELPA","Bishop Unified",1951,"DSP","Special Education Teacher (serving on a single school site)","Female","No","Asian","35 - 44",0.59,NA,3,NA,3,3,3,0.63,0.99,100,95.65,NA,NA,NA,NA,1,0,0,0,0,0,6,0,0,6,6
"CAP1974",NA,"Eligible","Madera/Mariposa SELPA","Madera Unified",20017,"DSP","Special Education Teacher (serving on a single school site)","Male","Decline to answer","White","45 - 54",0.78,NA,0,NA,3.25,3.25,3,NA,NA,NA,NA,NA,NA,NA,NA,1,9,6,8,7,7,7,6,9,59,59
"CAP1975",NA,"Eligible","Bakersfield City SELPA","Bakersfield City",30699,"DSP","Special Education Teacher (serving on a single school site)","Female","Yes","Other","35 - 44",0.9,NA,1,NA,1.5,2,2.5,NA,NA,NA,NA,NA,NA,NA,NA,1,3,3,6,6,6,6,6,8,44,44
"CAP1976",NA,"Eligible","Inyo County SELPA","Bishop Unified",1951,"DSP","Special Education Teacher (serving on a single school site)","Female","No","White","35 - 44",0.59,NA,3,NA,1.75,1.75,2,0.75,0.42,100,84.21,NA,NA,NA,NA,1,4,2,5,1,4,6,0,3,25,25
"CAP1977",NA,"Eligible","Santa Clarita Valley SELPA","Castaic Union",2153,"DSP","Special Education Teacher (serving on a single school site)","Female","Yes","White","25 - 34",0.34,NA,1,NA,2.5,2.75,3.5,NA,NA,NA,NA,NA,NA,NA,NA,1,4,1,0,0,0,6,0,4,15,15
"CAP1978",NA,"Eligible","Bakersfield City SELPA","Bakersfield City",30699,"DSP","Special Education Teacher (serving on a single school site)","Female","No","Black, African American","25 - 34",0.9,NA,3,NA,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,1,10,8,12,3,9,12,8,10,72,72
"CAP1979",NA,"Eligible","Ventura SELPA","Simi Valley Unified",16801,"DSP","Special Education Teacher (serving on a single school site)","Female","No","White","45 - 54",0.52,NA,3,2,2.5,2.5,3,0.5,0.91,25,100,NA,NA,NA,NA,1,5,6,9,0,4,3,1,4,32,32
"CAP1980",NA,"Eligible",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAP1981",NA,"Eligible",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAP1982",NA,"Eligible","Inyo County SELPA","Bishop Unified",1951,"DSP","Special Education Teacher (serving on a single school site)","Male","No","White","25 - 34",0.59,NA,1,NA,2.5,2.5,2,0.47,0.93,50,100,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAP1983",NA,"Eligible","North Region SELPA","Albany City Unified",3658,"DSP","OT/OTA","Female","Yes","2 or more of the above","45 - 54",0.29,NA,3,NA,1.5,0.75,1.75,NA,NA,NA,NA,NA,NA,NA,NA,0,2,2,NA,0,6,5,1,2,NA,18
"CAP1984",NA,"Eligible","Tri-Valley SELPA","Livermore Valley Joint Unified",13765,"DSP","Special Education Teacher (serving on a single school site)","Female","No","White","55 - 64",0.15,NA,2,NA,3,3,2.25,NA,NA,NA,NA,NA,NA,NA,NA,1,3,0,3,0,1,3,0,0,10,10
"CAP1985",NA,"Eligible","North Region SELPA","Albany City Unified",3658,"DSP","Behavior Specialist","Female","No","Black, African American","45 - 54",0.29,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,20,0,4,5,2,0,0,9,2,4,26,26
"CAP1986",NA,"Eligible","San Diego North Coastal SELPA","Oceanside Unified",18055,"DSP","Special Education Teacher (serving on a single school site)","Female","No","White","18 - 24",0.43,NA,2,NA,2.5,3,2,NA,NA,NA,NA,NA,NA,NA,NA,1,10,5,6,1,7,11,5,7,52,52
"CAP1987",NA,"Eligible","Bakersfield City SELPA","Bakersfield City",30699,"Administrator","Principal","Decline to answer","Decline to answer","Decline to answer","Decline to answer",0.9,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,0,12,8,10,0,NA,12,12,16,NA,70
"CAP1988",NA,"Eligible","East San Gabriel Valley SELPA","Covina-Valley Unified",11862,"Director","Director of Special Education","Female","Yes","White","45 - 54",0.58,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2.8,4,4,54,0,8,7,8,3,6,9,6,9,56,56
"CAP1989",NA,"Eligible",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAP1990",NA,"Eligible","San Diego North Inland SELPA","Escondido Union",15767,"Specialist","Program Specialist","Female","No","2 or more of the above","35 - 44",0.68,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.4,NA,0,7,5,4,0,5,12,2,7,42,42
"CAP1991",NA,"Eligible","Santa Clarita Valley SELPA","William S. Hart Union High",22661,"DSP","Special Education Teacher (serving on a single school site)","Male","Decline to answer","Decline to answer","Decline to answer",0.34,NA,3,NA,3.75,3,3.5,NA,NA,NA,NA,NA,NA,NA,NA,1,9,6,8,0,9,9,11,13,65,65
"CAP1992",NA,"Eligible","Modoc County SELPA","Modoc Joint Unified",868,"DSP","Special Education Teacher (serving on a single school site)","Female","No","White","18 - 24",0.68,NA,1,NA,2.5,2.75,2.5,NA,NA,NA,NA,NA,NA,NA,NA,1,8,8,10,2,10,10,8,12,68,68
"CAP1993",NA,"Eligible","Bakersfield City SELPA","Bakersfield City",30699,"DSP","Special Education Teacher (serving on a single school site)","Female","No","White","25 - 34",0.9,NA,2,NA,2.75,2.5,3.25,NA,NA,NA,NA,NA,NA,NA,NA,1,6,5,6,0,0,0,0,0,17,17
